Ducts/Vaults,Left,Top,Width,Height
1,470,803,18,18
2,493,487,18,15
3,320,800,18,18
4,491,415,18,15
5,177,28,18,15
6,492,98,17,12
11,469,768,17,17
12,415,702,17,17
13,469,736,17,17
14,378,702,17,17
15,470,703,17,17
17,470,625,17,17
18,471,513,17,17
19,470,557,17,17
20,406,587,17,17
21,379,624,17,17
23,382,555,17,17
26,378,491,14,14
27,378,515,14,14
28,335,468,14,14
29,258,468,14,14
30,213,757,17,17
31,229,703,16,16
32,336,704,16,16
33,209,622,16,16
34,206,553,16,16
35,212,496,16,16
36,212,391,14,14
37,165,346,14,14
38,134,287,14,14
39,133,142,14,14
40,151,93,14,14
50,407,416,14,14
52,467,418,14,14
53,477,345,14,14
54,445,345,14,14
55,479,303,14,14
56,373,343,15,15
57,478,263,14,14
58,303,348,14,14
59,475,240,14,14
61,477,212,14,14
63,478,157,14,14
64,378,266,14,14
65,477,132,14,14
66,292,267,14,14
72,470,98,14,14
